SMILES,atom1,atom2,experimental_BDE,bond_type
C/C=C\CCC,2,3,-0.5240901979171866,C-C
ClC(Br)C(Cl)Br,1,3,-0.5678788420696049,C-C
c4ccc(C(c1ccccc1)(c2ccccc2)c3ccccc3)cc4,4,5,-0.4748279732457156,C-C
C=Cc1ccc(CC)cc1,6,7,-0.8525050290603247,C-C
C=CCCc1ccccc1,2,3,-1.356074436813136,C-C
